TITLE,AI_PREDICTED_TITLE,AI_TITLE_SIMILARITY,DESCRIPTION,SHORT_DESCRIPTION,INSTRUCTORS_NAMES
Introduction to Object-Oriented Programming in Python,Object-Oriented Programming in Python,0.9459596308,"Embark on a journey into the heart of Python programming with our comprehensive course offering a foundation in the principles and practices of object-oriented programming (OOP). Through a series of hands-on exercises and real-world examples, learners will gain proficiency in leveraging the power of Python's OOP paradigm to create efficient, modular, and reusable code. Foundations of OOP Delve into the fundamental concepts that form the foundation of object-oriented programming. You'll discover the core principles of classes and objects, learn how to define and instantiate objectives in Python and explore how to assign attributes during instantiation. Inheritance Expand your knowledge by mastering inheritance and creating subclasses that build on functionality defined in other classes. You'll distinguish between class-level and instance-level data, implement class methods, and customize the functionality of subclasses! Equality, Exception Handling, and Best Practices Explore the versatility of Python in handling object comparisons and discover techniques for effective string representation of objects, enabling human-readable outputs. Learn how to fortify your code against unexpected errors and enhance its reliability through exception handling. Understand the importance of error detection and graceful error recovery, ensuring a smoother execution of your programs. Acquire best practices for writing clean, maintainable, and Pythonic code that adheres to OOP principles.","Discover the fundamental concepts of object-oriented programming (OOP), building custom classes and objects!",George Boorman
Introduction to Deep Learning in Python,Deep Learning in Python,0.9442848563,"Deep learning is the machine learning technique behind the most exciting capabilities in diverse areas like robotics, natural language processing, image recognition, and artificial intelligence, including the famous AlphaGo. In this course, you'll gain hands-on, practical knowledge of how to use deep learning with Keras 2.0, the latest version of a cutting-edge library for deep learning in Python.",Learn the fundamentals of neural networks and how to build deep learning models using Keras 2.0 in Python.,Dan Becker
Introduction to Natural Language Processing in Python,Natural Language Processing Fundamentals in Python,0.943351686,"In this course, you'll learn natural language processing (NLP) basics, such as how to identify and separate words, how to extract topics in a text, and how to build your own fake news classifier. You'll also learn how to use basic libraries such as NLTK, alongside libraries which utilize deep learning to solve common NLP problems. This course will give you the foundation to process and parse text as you move forward in your Python learning.",Learn fundamental natural language processing techniques using Python and how to apply them to extract insights from real-world text data.,Katharine Jarmul
Scalable AI Models with PyTorch Lightning,Building Scalable AI Systems with PyTorch Lightning,0.9383854513,"In this course, you'll explore the principles, tools, and techniques for building scalable AI systems. Using PyTorch Lightning as the primary framework, you'll get hands-on experience in developing and optimizing AI models by building modular neural network components, managing data pipelines, and applying advanced optimization techniques. By the end of the course, you will be equipped with the skills needed to build, scale, and deploy robust AI solutions.",Streamline your AI projects by building modular models and mastering advanced optimization with PyTorch Lightning!,Sergiy Tkachuk
Introduction to GitHub Concepts,Introduction to GitHub,0.9233745566,"Do you ever struggle to keep track of everything going on in a project? Or confuse GitHub with Git? In this course, you'll learn how to leverage the power of GitHub, become a successful collaborator, and recognize the differences between GitHub and Git. Building on the topics covered in Introduction to Version Control with Git, this conceptual course enables you to navigate the user interface of GitHub effectively. You will perform everyday tasks, including creating public and private repositories, creating and modifying files, branches, and issues, assigning tasks, tagging users, reviewing pull requests, and merging branches. You will also discover how to clone and fork repositories and generate private access tokens (PAT). By the end of this course, you'll be able to take these new skills and apply them to any coding or data project, making you feel on track and in control. Everyone will want to collaborate with you on GitHub!","Learn how to use GitHub's various features, navigate the interface and perform everyday collaborative tasks.",George Boorman; Jasmin Ludolf
Machine Translation with Keras,Building a Machine Translation Model with Keras,0.9175413945,"The need to pack a bilingual dictionary for your European holiday or keeping one on your desk to complete your foreign language homework is a thing of the past. You just hop on the internet and make use of a language translation service to quickly understand what the street sign means or finding out how to greet and thank a foreigner in their language. Behind the language translation services are complex machine translation models. Have you ever wondered how these models work? This course will allow you to explore the inner workings of a machine translation model. You will use Keras, a powerful Python-based deep learning library, to implement a translation model. You will then train the model to perform an English to French translation, and you will be shown techniques to improve your model. At the end of this course, you would have developed an in-depth understanding of machine translation models and appreciate them even more!",Are you curious about the inner workings of the models that are behind products like Google Translate?,Thushan Ganegedara
Working with the OpenAI API,Working with the OpenAI API in Python,0.9167381028,"Over recent years, OpenAI has emerged as a market leader in creating AI models, such as GPT-4o, and releasing them to the wider community in applications like ChatGPT. These models can transform not only the way you work but also the products and services that businesses provide to customers. To begin extracting business value from OpenAI's models, you'll need to learn to work with their Application Programming Interface, or API. In this course, you'll gain hands-on experience working with the OpenAI API in Python, and will explore the wide range of functionality that the API provides. By the end of the course, you'll have the skills and knowledge needed to leverage the power of the OpenAI API to develop solutions to real-world problems. The videos contain live transcripts, which can be accessed by clicking ""Show transcript"" at the bottom left of the videos. The course glossary can be found on the right in the resources section. To obtain CPE credits you need to complete the course and reach a score of 70% on the qualified assessment. You can navigate to the assessment by clicking on the CPE credits callout on the right.",Start your journey developing AI-powered applications with the OpenAI API. Learn about the functionality that underpins popular AI applications like ChatGPT.,James Chapman; Eduardo Oliveira
Understanding Data Engineering,Introduction to Data Engineering,0.9161398684,"In 2019, the average salary for data engineers overtook data scientists. How did this happen? Companies wanting to find the gold within their data realized it wasn’t possible if they hadn’t yet built the mine. Data engineers lay the foundations that make data science possible. In this course, you’ll learn about a data engineer’s core responsibilities, how they differ from data scientists, and facilitate the flow of data through an organization. Through hands-on exercises you’ll follow Spotflix, a fictional music streaming company, to understand how their data engineers collect, clean, and catalog their data. By the end of the course, you’ll understand what your company's data engineers do, be ready to have a conversation with a data engineer, and have a solid foundation to start your own data engineer journey. The videos contain live transcripts, which can be accessed by clicking ""Show transcript"" at the bottom left of the videos. The course glossary can be found on the right in the resources section. To obtain CPE credits you need to complete the course and reach a score of 70% on the qualified assessment. You can navigate to the assessment by clicking on the CPE credits callout on the right.",Discover how data engineers lay the groundwork that makes data science possible. No coding involved!,Hadrien Lacroix
Large Language Models (LLMs) Concepts,Introduction to Large Language Models (LLMs),0.9153677872,"In this course, you’ll journey through the world of Large Language Models (LLMs) and discover how they are reshaping the AI landscape. You’ll see how they revolutionize businesses and everyday life with real-world examples and learn about their building block. As you progress, you’ll gain insights into the training methodologies too. Finally, you’ll tackle the critical ethical and environmental considerations for LLMs and see what the future of LLMs could look like. By the end of this course, you'll have a comprehensive understanding of LLMs, their capabilities, applications, and challenges.","Discover the full potential of LLMs with our conceptual course covering LLM applications, training methodologies, ethical considerations, and latest research.",Vidhi Chugh
Understanding ChatGPT,Introduction to ChatGPT,0.9141289268,"Get ready to take your workflows and business processes to the next level with the groundbreaking conversational language model, ChatGPT! In this course, you'll dive headfirst into the exciting world of generative artificial intelligence (AI) and discover how to wield ChatGPT like a pro. From text summarization, explaining complex concepts, drafting engaging marketing content, and generating and explaining code, you'll learn about the most common applications of ChatGPT. Plus, you’ll be equipped with a framework to evaluate new use cases and determine if ChatGPT is the right solution for your needs. Finally, you'll explore the legal and ethical considerations that come with implementing ChatGPT in various situations. Don't miss out on this opportunity to unlock the full potential of ChatGPT and revolutionize the way you work! The videos contain live transcripts, which can be accessed by clicking ""Show transcript"" at the bottom left of the videos. The course glossary can be found on the right in the resources section. To obtain CPE credits you need to complete the course and reach a score of 70% on the qualified assessment. You can navigate to the assessment by clicking on the CPE credits callout on the right.",Learn how to use ChatGPT. Discover best practices for writing prompts and explore common business use cases for the powerful AI tool.,James Chapman
Intermediate Deep Learning with PyTorch,Deep Learning with PyTorch,0.9083280509,"Deep learning is a rapidly evolving field of artificial intelligence (AI) that revolutionized the field of machine learning, enabling breakthroughs in areas such as computer vision, natural language processing, and speech recognition. In this course, you'll develop robust deep learning models with PyTorch for a range of applications, including image and sequence models. You'll become familiar with core network architectures, such as convolutional neural networks (CNNs) and recurrent neural networks (RNNs), including Long Short-Term Memory (LSTM) networks and Gated Recurrent Units (GRUs).","Learn about fundamental deep learning architectures such as CNNs, RNNs, LSTMs, and GRUs for modeling image and sequential data.",Michał Oleszak
LLMOps Concepts,Introduction to LLMOps,0.9079656221,"Embark on a journey into Large Language Model Operations (LLMOps). This course, designed for enthusiasts and professionals alike, guides you through the basics, from ideation to operational deployment. Delving into the LLM application lifecycle will reveal its pivotal role in organizations. You will gain insights into the challenges and considerations at each stage and how to refine development and ensure smooth deployment while embracing data governance and security. By the end of the course, you'll have a solid grasp of LLMOps concepts and know how to apply them to your applications.","Learn about LLMOps from ideation to deployment, gain insights into the lifecycle and challenges, and learn how to apply these concepts to your applications.",Max Knobbout
Introduction to Data Privacy,Data Privacy Fundamentals,0.8942996923,"What is data privacy, why is it so important, and how does it impact you daily? Answer all these questions and more in this course, introducing you to the basics of data privacy. This non-technical course focuses on providing a solid foundation of privacy principles and relating them with other critical concepts within the interconnected data landscape. You’ll start by looking at the relationship between security, privacy, and data and why they matter in the modern world.Through hands-on exercises, you’ll learn about the importance of privacy by design and additional privacy topics. Data privacy is essential to everyone. Start leveling up your data privacy skills and uncover a new way to look at the data around you.",Gain a clear understanding of data privacy principles and how to implement privacy and security processes.,Tiffany Lewis
Generative AI Concepts,Introduction to Generative AI,0.8913800982,"Artificial Intelligence (AI) is reshaping our world like never before. Generative AI is a type of AI that can create new content from text, images, and more. In this no-coding course, you'll learn about the exciting concepts in this emerging field and how to prepare for a future where AI becomes widely adopted. You'll start by comprehending how these models create content, where they fit into the machine learning landscape, and how they are developed. Given the power of generative AI, you will also consider how laws and ethics play with these models, learning how to avoid bias and use generative AI responsibly. Finally, you’ll look at the future of generative AI and how we can leverage and collaborate effectively with these tools. After this course, you, too, will be able to unlock the creative capabilities of generative AI. Let's go! The videos contain live transcripts, which can be accessed by clicking ""Show transcript"" at the bottom left of the videos. The course glossary can be found on the right in the resources section. To obtain CPE credits you need to complete the course and reach a score of 70% on the qualified assessment. You can navigate to the assessment by clicking on the CPE credits callout on the right.",Discover how to begin responsibly leveraging generative AI. Learn how generative AI models are developed and how they will impact society moving forward.,Daniel Tedesco
Introduction to Python for Developers,Introduction to Python,0.8886469735,"Are you eager to dive into the world of programming but don't know where to start? This course is for you, designed specifically for beginners with zero prior experience in programming. Python, is a versatile and powerful language, perfect for software development! This course introduces you to key concepts, from creating code comments and performing calculations to discovering Python's built-in data types including floats, strings, integers, and boolean values! You'll learn how to store information in variables using a variety of data structures such as lists, dictionaries, sets, and tuples. You'll progress into comparison operators, using them to develop a customized workflow to conditionally execute code depending on whether conditions are met. The course wraps up by introducing for and while loops, which are essential for iterating over data and executing tasks!",Master the fundamentals of programming in Python. No prior knowledge required!,George Boorman
Manipulating Time Series Data in Python,Time Series Analysis in Python,0.8872347541,"In this course you'll learn the basics of manipulating time series data. Time series data are data that are indexed by a sequence of dates or times. You'll learn how to use methods built into Pandas to work with this index. You'll also learn how resample time series to change the frequency. This course will also show you how to calculate rolling and cumulative values for times series. Finally, you'll use all your new skills to build a value-weighted stock index from actual stock data.",In this course you'll learn the basics of working with time series data.,Stefan Jansen
Intermediate Object-Oriented Programming in Python,Object-Oriented Programming in Python: Advanced,0.8856682777,"Ready to unlock the power of object-oriented programming? You’re in the right place! In this course, you’ll build on the foundations of object-oriented programming to develop and hone the skills you need to write robust, production-ready code with Python. Apply the basic principles of inheritance to create classes that inherit functionality from more than a single parent. Unlock a new array of capabilities with method overloading to create your own implementations of built-in operators, enabling your classes to be used in new and exciting ways. Take your skills to the next-level with type hinting, and watch as your code becomes easier to read, write, and troubleshoot. Customize the way an attribute is set, accessed, and deleted using descriptors and other Python-native techniques. Learn to build your own custom iterators to navigate a collection or generate a stream of data. Discover the power of abstract base classes, and how they can be used to create ""blueprints"" for similar classes. Practice building formal and informal interfaces to create and implement contracts between classes. Finally, wrap up the course by architecting and building classes using the factory method design pattern.","Build your OOP skills with descriptors, multilevel inheritance, and abstract base classes!",Jake Roach
Image Processing in Python,Image Processing in Python with scikit-image,0.8846343561,"Images are everywhere! We live in a time where images contain lots of information, which is sometimes difficult to obtain. This is why image pre-processing has become a highly valuable skill, applicable in many use cases. In this course, you will learn to process, transform, and manipulate images at your will, even when they come in thousands. You will also learn to restore damaged images, perform noise reduction, smart-resize images, count the number of dots on a dice, apply facial detection, and much more, using scikit-image. After completing this course, you will be able to apply your knowledge to different domains such as machine learning and artificial intelligence, machine and robotic vision, space and medical image analysis, retailing, and many more. Take the step and dive into the wonderful world that is computer vision!","Learn to process, transform, and manipulate images at your will.",Rebeca Gonzalez
Visualizing Time Series Data in Python,Time Series Analysis in Python,0.8738237619,"Time series data is omnipresent in the field of Data Science. Whether it is analyzing business trends, forecasting company revenue or exploring customer behavior, every data scientist is likely to encounter time series data at some point during their work. To get you started on working with time series data, this course will provide practical knowledge on visualizing time series data using Python.","Visualize seasonality, trends and other patterns in your time series data.",Thomas Vincent
Understanding Data Science,Introduction to Data Science,0.873746924,"What is data science, why is it so popular, and why did the Harvard Business Review hail it as the “sexiest job of the 21st century”? In this non-technical course, you’ll be introduced to everything you were ever too afraid to ask about this fast-growing and exciting field, without needing to write a single line of code. Through hands-on exercises, you’ll learn about the different data scientist roles, foundational topics like A/B testing, time series analysis, and machine learning, and how data scientists extract knowledge and insights from real-world data. So don’t be put off by the buzzwords. Start learning, gain skills in this hugely in-demand field, and discover why data science is for everyone! The videos contain live transcripts you can reveal by clicking ""Show transcript"" at the bottom left of the videos. The course glossary, promotional material and detailed learning objectives can be found on the right in the resources section. To obtain CPE credits you need to complete the course and reach a score of 70% on the qualified assessment. You can navigate to the assessment by clicking on the CPE credits callout on the right.",An introduction to data science with no coding involved.,Hadrien Lacroix; Sara Billen; Lis Sulmont
Understanding Machine Learning,Introduction to Machine Learning,0.8705605528,"What's behind the machine learning hype? In this non-technical course, you’ll learn everything you’ve been too afraid to ask about machine learning. There’s no coding required. Hands-on exercises will help you get past the jargon and learn how this exciting technology powers everything from self-driving cars to your personal Amazon shopping suggestions. How does machine learning work, when can you use it, and what is the difference between AI and machine learning? They’re all covered. Gain skills in this hugely in-demand and influential field, and discover why machine learning is for everyone!",An introduction to machine learning with no coding involved.,Hadrien Lacroix; Sara Billen; Lis Sulmont
Natural Language Processing (NLP) in Python,Natural Language Processing Fundamentals in Python,0.868070066,"Unlock the power of Natural Language Processing (NLP) and take your text analysis skills to the next level! This course equips you with essential tools to process, analyze, and extract insights from text data. Start with the fundamentals of text processing, such as tokenization, lemmatization, and stemming, to extracting meaningful numerical features from text using bag-of-words (BoW), TF-IDF, and embeddings. Finally, harness the power of state-of-the-art transformer models using Hugging Face. Perform sentiment analysis, classify content, analyze question-answer relationships, assess grammatical acceptability, and generate text using the latest models.",Master text analysis with essential NLP techniques from preprocessing to advanced transformer models.,Fouad Trad
Introduction to LLMs in Python,Building and Fine-Tuning LLMs in Python,0.8672281741,"Large Language Models (LLMs) have become pivotal tools driving some of the most stunning advancements and applications in today's AI landscape. This hands-on course will equip you with the practical knowledge and skills needed to understand, build, and harness the power of LLMs for solving complex language tasks such as translation, language generation, question-answering, and more. Through iteractive coding exercises, you will learn to work with transformers. You'll also explore pre-trained language models and datasets from Hugging Face. By the end of this course, you will be able to fine-tune and evaluate pre-trained LLMs using specialized metrics. You will also gain an understanding of the key challenges and ethical considerations of enabling real-world LLM applications.",Learn the nuts and bolts of LLMs and the revolutionary transformer architecture they are based on!,Jasmin Ludolf; Iván P.C.
Supervised Learning with scikit-learn,Machine Learning with scikit-learn,0.8599386978,"Grow your machine learning skills with scikit-learn and discover how to use this popular Python library to train models using labeled data. In this course, you'll learn how to make powerful predictions, such as whether a customer is will churn from your business, whether an individual has diabetes, and even how to tell classify the genre of a song. Using real-world datasets, you'll find out how to build predictive models, tune their parameters, and determine how well they will perform with unseen data.",Grow your machine learning skills with scikit-learn in Python. Use real-world datasets in this interactive course and learn how to make powerful predictions!,George Boorman
Deep Learning for Images with PyTorch,Image Analysis with PyTorch,0.8595398832,"In this course, you'll use PyTorch to discover image classification, object recognition, segmentation, and image generation. You'll work with both binary and multi-class image classification models, utilize pre-trained models for deep learning tasks, and master object detection with bounding boxes. Additionally, you'll delve into image segmentation, including semantic, instance, and panoptic types, with real-world applications. Finally, you'll explore Generative Adversarial Networks (GANs) and learn to assess the quality and diversity of the generated images.",Apply PyTorch to images and use deep learning models for object detection with bounding boxes and image segmentation generation.,Michał Oleszak
Working with Llama 3,Introduction to Llama 3,0.8553151998,"Open-source large language models like Llama can run on your own computer, helping you keep data private and reduce costs. In this course, you'll learn how to set up and use Llama locally. You'll explore simple techniques like adjusting prompts to get better responses, building conversations that remember context, and adapting outputs to fit your project's needs - whether that means generating structured data or refining responses for clarity. This course is designed for learners with experience working with Python.",Explore the latest techniques for running the Llama LLM locally and integrating it within your stack.,Imtihan Ahmed
Reinforcement Learning with Gymnasium in Python,Reinforcement Learning with Python,0.8534503158,"Embark on an exhilarating exploration of Reinforcement Learning (RL), a pivotal branch of machine learning. This interactive course takes you on a comprehensive journey through the core principles of RL where you'll master the art of training intelligent agents, teaching them to make strategic decisions and maximize rewards. Your agents will learn to navigate a whole host of different environments from OpenAI's gym toolkit, including navigating frozen lakes and mountains.",Start your reinforcement learning journey! Learn how agents can learn to solve environments through interactions.,Fouad Trad
Introduction to SQL with AI,SQL for Data Analysis with AI,0.8508673488,"Learn SQL fundamentals using AI. In this beginner course, you’ll learn to write prompts to generate SQL queries, understand the resulting code, and explore databases effectively. You'll start with SELECT statements and progress through tables, data types, counting, and finding unique values. You’ll focus on practicing real-world skills such as writing clear prompts, understanding SQL syntax, and knowing when to adjust what AI generates. By the end of the course, you'll confidently retrieve data and answer business questions with SQL using AI.","Learn SQL with AI by writing prompts, generating queries, and analyzing data to solve real-world problems.",Jasmin Ludolf
Working with Hugging Face,Introduction to Hugging Face,0.8495410248,"Hugging Face is a vital platform for accessing machine learning and AI functionality. In this course, you'll explore the Hugging Face Hub to the most appropriate models and datasets for your tasks. You'll utilize Hugging Face's API to search its model repository by task, author, or popularity. You'll use pipelines, a fundamental Hugging Face component, to perform a whole host of AI tasks using a simple and intuitive syntax. You'll learn to classify text into categories, generate impactful and accurate summaries, and even have conversations with documents. Join the AI revolution and learn about Hugging Face today!",Navigate and use the extensive repository of models and datasets available on the Hugging Face Hub.,Jacob Marquez
Introduction to AI Agents,AI Agents: Understanding Agentic Systems,0.8476609355,"Unlock the power of AI agents and transform how you work with agentic systems. This beginner-friendly course is designed for anyone eager to understand the core concepts behind agentic AI systems, without writing a single line of code. You'll learn how AI agents differ from traditional automation tools and chatbots, explore their key components like memory, tool use, and orchestration, and discover when and how to implement agent-based solutions for real-world problems. From customer support agents to coding assistants, this course uses relatable examples to demystify what makes AI systems agentic, how they reason, and how to use and build AI agents responsibly. Enroll now, and take your first step toward engaging with the next frontier of AI. The videos contain live transcripts, which can be accessed by clicking ""Show transcript"" at the bottom left of the videos. The course glossary can be found on the right in the resources section. To obtain CPE credits you need to complete the course and reach a score of 70% on the qualified assessment. You can navigate to the assessment by clicking on the CPE credits callout on the right.","Learn the fundamentals of AI agents, their components, and real-world use—no coding required.",Adel Nehme
MLOps with Databricks and MLflow,MLflow: Model Management with Databricks,0.840376308,Learn how to productionize machine learning models on Databricks using MLflow for experiment tracking and model deployment.,Ship reliable ML pipelines with Databricks and MLflow.,Alex Rivera
Designing Agentic Systems with LangChain,Building Agentic Workflows with LangChain,0.8338332176,"Every day, intelligent systems are transforming industries—whether it's through automated customer support, personalized recommendations, or dynamic data processing. Agentic workflows, which integrate language models and tools to perform complex tasks, are at the forefront of this transformation. This course breaks down the essential components of agentic workflows and explains how to build, customize, and optimize them. You'll learn the key principles behind LangChain agents, including configuring prompts, integrating tools, and managing complex workflows with LangGraph. By the end of this course, you'll be equipped to build intelligent systems that automate complex tasks, enhance productivity, and provide dynamic solutions tailored to specific business needs.",Get to grips with the foundational components of LangChain agents and build custom chat agents.,"Dilini K. Sumanapala, PhD"
Building Scalable Agentic Systems,Building Scalable AI Agents,0.8234387847,"Why do so many agentic systems fail to traverse the gap between development and production? In this course, you'll find out! Learn how to design and develop AI agents with scalability in mind, following the three pillars of agentic scalability: robust infrastructure and tooling, modular design architecture, and continuous evaluation and feedback loops. You'll learn about how agentic frameworks like the Model Context Protocol (MCP) and the Agent-to-Agent protocol (A2A) enable cleaner and faster integrations between data sources and agents. Finally, learn about the tests and deployment strategies to set your agent up to deliver value.","Discover what it takes to scale AI agents, with a little help from frameworks like MCP and A2A.",Korey Stegared-Pace
Software Engineering Principles in Python,Software Engineering for Data Scientists in Python,0.8182533383,"Data scientists can experience huge benefits by learning concepts from the field of software engineering, allowing them to more easily reutilize their code and share it with collaborators. In this course, you'll learn all about the important ideas of modularity, documentation, & automated testing, and you'll see how they can help you solve Data Science problems quicker and in a way that will make future you happy. You'll even get to use your acquired software engineering chops to write your very own Python package for performing text analytics.","Learn about modularity, documentation, and automated testing to help you solve data science problems more quickly and reliably.",Adam Spannbauer
Intermediate Regression with statsmodels in Python,Multiple Regression in Python with statsmodels,0.8178415298,"Linear regression and logistic regression are the two most widely used statistical models and act like master keys, unlocking the secrets hidden in datasets. In this course, you’ll build on the skills you gained in ""Introduction to Regression in Python with statsmodels"", as you learn about linear and logistic regression with multiple explanatory variables. Through hands-on exercises, you’ll explore the relationships between variables in real-world datasets, Taiwan house prices and customer churn modeling, and more. By the end of this course, you’ll know how to include multiple explanatory variables in a model, discover how interactions between variables affect predictions, and understand how linear and logistic regression work.",Learn to perform linear and logistic regression with multiple explanatory variables.,Maarten Van den Broeck
Introduction to Functions in Python,Writing Functions in Python,0.8134653811,"It's time to push forward and develop your Python chops even further. Python has tons of fantastic functions and a module ecosystem. However, as a data professional or developer, you'll constantly need to write your own functions to solve problems that are dictated by your data. You will learn the art of function writing in this first course. You'll come out of this course being able to write your very own custom functions, complete with multiple parameters and multiple return values, along with default arguments and variable-length arguments. You'll gain insight into scoping in Python, be able to write lambda functions and handle errors in your function writing practice. You'll wrap up each chapter by using your new skills to write functions that analyze Twitter data.","Learn the art of writing your own functions in Python, as well as key concepts like scoping and error handling.",Hugo Bowne-Anderson
Developing AI Systems with the OpenAI API,Building Production-Ready Applications with the OpenAI API,0.7986831665,"Get your AI applications ready for production with this OpenAI API course. You’ll discover best practices for developing applications on the OpenAI API, including moderation and validation, testing, and practices for improved safety. You’ll also learn how to connect your application with external systems and APIs through function calling. This course builds on core OpenAI functionalities introduced in Working with the OpenAI API and prompt writing best practices from Prompt Engineering with the OpenAI API to help you elevate your projects from proof of concept to production-ready systems.",Leverage the OpenAI API to get your AI applications ready for production.,Francesca Donadoni
Multi-Agent Systems with LangGraph,Building AI Agents with LangGraph,0.7976063969,"Design and build your own agents with LangGraph! LangGraph is a core part of the LangChain ecosystem, and it's used to build production-ready AI agents with a high degree of customizability. You'll use LangGraph to build an agentic assistant to gather information and stock performance data on Fortune 500 companies, and analyze it using visualizations! Discover state-of-the-art multi-agent architectures, including swarm (or decentralized) multi-agents and supervisor mult-agents. Become a builder of AI agent systems today!",Build powerful multi-agent systems by applying emerging agentic design patterns in the LangGraph framework.,James Chapman
Introduction to Embeddings with the OpenAI API,Building Text Embedding Applications with OpenAI,0.7947409871,"Text embedding models create numerical representations from text inputs. This ability to encode text and capture its semantic meaning means that embedding models underpin many types of AI applications, like semantic search engines and recommendation engines. In this course, you'll learn how to harness OpenAI's Embeddings model via the OpenAI API to create embeddings from text datasets and begin developing real-world applications. You'll also take a big step towards creating production-ready applications by learning about vector databases to efficiently store and query embedded texts.","Unlock more advanced AI applications, like semantic search and recommendation engines, using OpenAI's embedding model!",Emmanuel Pire; James Chapman
Prompt Engineering with the OpenAI API,Prompt Engineering for ChatGPT,0.79396795,"ChatGPT is a powerful language model that can generate human-like text for different applications. However, it is only as good as the prompts you provide. You need to know how to write effective prompts, and this is where prompt engineering comes in. In this course, you'll dive deep into the principles and best practices of prompt engineering. By the end, you'll have the skills and knowledge to write effective prompts to solve real-world problems and business applications.",Dive deep into the principles and best practices of prompt engineering to leverage powerful language models like ChatGPT to solve real-world problems.,Fouad Trad
Retrieval Augmented Generation (RAG) with LangChain,Building RAG Applications with LangChain,0.7912846581,"Large Language Models (LLMs) are being integrated into computers, phones, and software applications, but they do have one drawback: their knowledge is limited by their training data, which is slow and costly. Enter Retrieval Augmented Generation (RAG)! RAG enables you to integrate external data with LLMs. In this course, you'll learn state-of-the-art techniques for loading, processing, and retrieving external data for LLMs! You'll utilize vector databases, the latest LLMs, including GPT-4o-Mini, and the LangChain framework to create RAG applications. This course concludes with a chapter on Graph RAG, a twist on traditional RAG that uses graph databases for more reliable data retrieval.",Learn cutting-edge methods for integrating external data with LLMs using Retrieval Augmented Generation (RAG) with LangChain.,Meri Nova
Introduction to MLflow,MLflow for Machine Learning Lifecycle Management,0.7898544559,"Managing the end-to-end lifecycle of a Machine Learning application can be a daunting task for data scientists, engineers, and developers. Machine Learning applications are complex and have a proven track record of being difficult to track, hard to reproduce, and problematic to deploy. In this course, you will learn what MLflow is and how it attempts to simplify the difficulties of the Machine Learning lifecycle such as tracking, reproducibility, and deployment. After learning MLflow, you will have a better understanding of how to overcome the complexities of building Machine Learning applications and how to navigate different stages of the Machine Learning lifecycle.","Learn how to use MLflow to simplify the complexities of building machine learning applications. Explore MLflow tracking, projects, models, and model registry.",Weston Bassler
Image Modeling with Keras,Deep Learning for Images with Keras in Python,0.7840420837,"Image modeling often requires deep learning methods that use data to train neural network algorithms for various machine learning tasks. Convolutional neural networks (CNNs) are particularly powerful neural networks that you'll use to classify different types of objects for the analysis of images. This four-hour course will teach you how to construct, train, and evaluate CNNs using Keras.","Learn to conduct image analysis using Keras with Python by constructing, training, and evaluating convolutional neural networks.",Ariel Rokem
Introduction to Optimization in Python,Introduction to Linear Programming in Python,0.760867448,"This course transforms beginners into skilled optimizers, teaching you to convert and solve real-world problems using mathematical modeling in Python with SciPy and PuLP. Starting with the basics of optimization and its applications, you'll employ SymPy for analytical solutions without manually calculating derivatives, and utilize SciPy for numerical answers. You'll progress to tackling linear programming, constrained convex optimization, and mixed integer optimization with SciPy and PuLP, focusing on practical issues like manufacturing, profit maximization, and resource allocation.","Learn to solve real-world optimization problems using Python's SciPy and PuLP, covering everything from basic to constrained and complex optimization.",James Chapman; Jasmin Ludolf
Experimental Design in Python,Experimental Design in R,0.7588220321,"Discover how to design experiments and conduct statistical analyses to begin making precise conclusions! In this course, you'll learn how different experimental design setups, including randomized block designs and factorial designs, can be implemented to measure treatment effects. You'll deep-dive into performing statistical analyses on experimental data, including selecting the correct statistical tests for the situation, conducting post-hoc analysis, and measuring effect size and minimum sample size with Cohen's d and power analysis. Finally, you'll learn how to extract insights from complex experimental data and communicate your findings to different stakeholders, address complexities like interactions, heteroscedasticity, and confounding, and implement nonparametric methods when data doesn't meet the assumptions of parametric tests.",Implement experimental design setups and perform robust statistical analyses to make precise and valid conclusions!,James Chapman
Building LLM Apps with ChatGPT and dbt,"Building Data Apps with LLMs, SQL, and dbt",0.7521959543,"Build robust LLM-powered data apps by combining ChatGPT, SQL models, and dbt for analytics engineering.",Design and deploy LLM analytics apps with dbt.,Priya Sharma
Python Toolbox,Python Data Science Toolbox (Part 2),0.7502681241,"In this Python Toolbox course, you'll continue to build more advanced Python skills. First, you'll learn about iterators, objects you have already encountered in the context of for loops. You'll then learn about list comprehensions, which are extremely handy tools for all data professionals and developers working in Python. You'll end the course by working through a case study in which you'll apply all the techniques you learned in both parts of this course.",Continue to build your modern Data Science skills by learning about iterators and list comprehensions.,Hugo Bowne-Anderson
